Alle Werke von Iwao Otsuka. Aktualisiert am 202411. EPUB. PDF. MP4. Python 3. Javascript.  Alle Dokumente sind in einer Zip-Datei für mehrere Sprachen komprimiert. 
DE_GL_  Gase und Flüssigkeiten. Klassifizierung von Verhalten und Gesellschaft. Anwendungen auf Lebewesen und Menschen.
DE_HD_  Psyche und Gesellschaft bei Lebewesen im Allgemeinen. Anwendung auf den Menschen.
DE_IES_  Trägheitsgesellschaft
DE_MLSL_  Mobiler Lebensstil. Sesshafter Lebensstil. Die Ursprünge der Geschlechtsunterschiede zwischen Gesellschaften.
DE_MSFS_  Die von Frauen dominierte Gesellschaft wird die Welt beherrschen.
DE_MTR_  Materie im Allgemeinen, Verhalten und Gesellschaft. Anwendung auf Lebewesen und Menschen.
DE_PS_  Die Soziologie des Individuums -Ansatz der elementaren Reduktion
DE_SD_  Geschlechtsunterschiede und weibliche Dominanz.
DE_SPS_  Die Luftfeuchtigkeit. Helligkeit. Temperatur. Härte. Dichtheit. Spannung. Ihre Empfindung und Wahrnehmung. Ihre Anwendung auf die sozialpsychologische Analyse.
DE_TCS_  Von der verkehrszentrierten Gesellschaft zur kommunikationszentrierten Gesellschaft. Der Fortschritt des Übergangs.
